867
[1, 1, 0]
[1, 2, 1]
[3, 3, 2]
[2, 1, 3]
[0, 5, 4]
[0, 6, 5]
[7, 5, 6]
[4, 4, 7]
[5, 5, 8]
[5, 1, 9]
[4, 3, 10]
[7, 3, 11]
[6, 3, 12]
[6, 0, 13]
[7, 1, 14]
[6, 13, 15]
[7, 12, 16]
[4, 13, 17]
[5, 13, 18]
[4, 9, 19]
[5, 8, 20]
[7, 10, 21]
[7, 9, 22]
[0, 9, 23]
[1, 8, 24]
[0, 10, 25]
[3, 11, 26]
[3, 10, 27]
[2, 14, 28]
[0, 12, 29]
[1, 13, 30]
[15, 13, 31]
[13, 14, 32]
[13, 8, 33]
[13, 11, 34]
[14, 8, 35]
[15, 8, 36]
[9, 9, 37]
[10, 14, 38]
[9, 13, 39]
[8, 0, 40]
[9, 1, 41]
[9, 3, 42]
[11, 3, 43]
[11, 0, 44]
[11, 5, 45]
[11, 4, 46]
[8, 7, 47]
[15, 6, 48]
[14, 5, 49]
[13, 6, 50]
[13, 1, 51]
[13, 0, 52]
[13, 3, 53]
[12, 3, 54]
[15, 2, 55]
[14, 1, 56]
[14, 28, 57]
[13, 29, 58]
[12, 27, 59]
[14, 27, 60]
[14, 24, 61]
[9, 24, 62]
[9, 26, 63]
[11, 27, 64]
[10, 30, 65]
[9, 31, 66]
[8, 16, 67]
[9, 18, 68]
[8, 18, 69]
[8, 19, 70]
[10, 17, 71]
[11, 16, 72]
[10, 21, 73]
[15, 22, 74]
[15, 21, 75]
[13, 20, 76]
[13, 23, 77]
[12, 23, 78]
[13, 19, 79]
[15, 18, 80]
[14, 19, 81]
[15, 16, 82]
[1, 16, 83]
[0, 19, 84]
[3, 18, 85]
[2, 16, 86]
[2, 17, 87]
[2, 21, 88]
[0, 23, 89]
[7, 23, 90]
[5, 20, 91]
[5, 23, 92]
[5, 22, 93]
[4, 23, 94]
[4, 18, 95]
[4, 19, 96]
[7, 18, 97]
[6, 19, 98]
[7, 17, 99]
[7, 16, 100]
[7, 29, 101]
[7, 28, 102]
[4, 27, 103]
[1, 24, 104]
[0, 27, 105]
[2, 26, 106]
[2, 25, 107]
[3, 30, 108]
[3, 28, 109]
[1, 29, 110]
[31, 31, 111]
[30, 31, 112]
[29, 30, 113]
[28, 30, 114]
[29, 25, 115]
[30, 26, 116]
[30, 27, 117]
[30, 25, 118]
[31, 25, 119]
[31, 24, 120]
[24, 26, 121]
[27, 27, 122]
[26, 28, 123]
[24, 28, 124]
[25, 29, 125]
[24, 30, 126]
[25, 17, 127]
[24, 19, 128]
[26, 16, 129]
[26, 20, 130]
[25, 23, 131]
[24, 22, 132]
[24, 23, 133]
[31, 23, 134]
[31, 22, 135]
[28, 21, 136]
[29, 21, 137]
[29, 20, 138]
[29, 16, 139]
[28, 18, 140]
[28, 19, 141]
[31, 18, 142]
[30, 18, 143]
[31, 17, 144]
[16, 17, 145]
[17, 16, 146]
[18, 22, 147]
[18, 23, 148]
[18, 21, 149]
[16, 20, 150]
[22, 20, 151]
[23, 21, 152]
[21, 22, 153]
[21, 16, 154]
[23, 28, 155]
[21, 30, 156]
[20, 30, 157]
[21, 25, 158]
[20, 26, 159]
[23, 24, 160]
[17, 25, 161]
[16, 26, 162]
[19, 26, 163]
[18, 27, 164]
[16, 28, 165]
[16, 3, 166]
[17, 7, 167]
[16, 6, 168]
[16, 7, 169]
[21, 5, 170]
[20, 3, 171]
[23, 2, 172]
[21, 15, 173]
[21, 14, 174]
[20, 9, 175]
[21, 9, 176]
[22, 11, 177]
[23, 8, 178]
[19, 10, 179]
[18, 9, 180]
[18, 13, 181]
[16, 14, 182]
[31, 12, 183]
[28, 13, 184]
[29, 9, 185]
[29, 10, 186]
[28, 11, 187]
[31, 9, 188]
[25, 10, 189]
[24, 10, 190]
[26, 11, 191]
[26, 8, 192]
[27, 9, 193]
[26, 15, 194]
[24, 12, 195]
[24, 14, 196]
[24, 1, 197]
[24, 3, 198]
[26, 0, 199]
[27, 0, 200]
[27, 7, 201]
[26, 6, 202]
[27, 5, 203]
[24, 5, 204]
[25, 7, 205]
[25, 6, 206]
[30, 5, 207]
[31, 4, 208]
[29, 6, 209]
[28, 6, 210]
[28, 7, 211]
[30, 0, 212]
[31, 1, 213]
[31, 0, 214]
[30, 62, 215]
[30, 60, 216]
[29, 60, 217]
[29, 63, 218]
[26, 58, 219]
