867
[1, 1, 0]
[1, 2, 1]
[2, 1, 2]
[3, 3, 3]
[0, 5, 4]
[0, 6, 5]
[5, 1, 6]
[4, 3, 7]
[6, 0, 8]
[7, 1, 9]
[6, 3, 10]
[7, 3, 11]
[4, 4, 12]
[5, 5, 13]
[7, 5, 14]
[0, 9, 15]
[1, 8, 16]
[0, 10, 17]
[3, 10, 18]
[3, 11, 19]
[0, 12, 20]
[1, 13, 21]
[2, 14, 22]
[4, 9, 23]
[5, 8, 24]
[7, 9, 25]
[7, 10, 26]
[4, 13, 27]
[5, 13, 28]
[6, 13, 29]
[7, 12, 30]
[8, 0, 31]
[9, 1, 32]
[9, 3, 33]
[11, 0, 34]
[11, 3, 35]
[8, 7, 36]
[11, 4, 37]
[11, 5, 38]
[13, 0, 39]
[13, 1, 40]
[12, 3, 41]
[13, 3, 42]
[14, 1, 43]
[15, 2, 44]
[13, 6, 45]
[14, 5, 46]
[15, 6, 47]
[9, 9, 48]
[9, 13, 49]
[10, 14, 50]
[13, 8, 51]
[13, 11, 52]
[14, 8, 53]
[15, 8, 54]
[13, 14, 55]
[15, 13, 56]
[1, 16, 57]
[0, 19, 58]
[2, 16, 59]
[2, 17, 60]
[3, 18, 61]
[0, 23, 62]
[2, 21, 63]
[4, 18, 64]
[4, 19, 65]
[7, 16, 66]
[7, 17, 67]
[6, 19, 68]
[7, 18, 69]
[5, 20, 70]
[4, 23, 71]
[5, 22, 72]
[5, 23, 73]
[7, 23, 74]
[1, 24, 75]
[0, 27, 76]
[2, 25, 77]
[2, 26, 78]
[1, 29, 79]
[3, 28, 80]
[3, 30, 81]
[4, 27, 82]
[7, 28, 83]
[7, 29, 84]
[8, 16, 85]
[8, 18, 86]
[8, 19, 87]
[9, 18, 88]
[10, 17, 89]
[11, 16, 90]
[10, 21, 91]
[13, 19, 92]
[15, 16, 93]
[14, 19, 94]
[15, 18, 95]
[13, 20, 96]
[12, 23, 97]
[13, 23, 98]
[15, 21, 99]
[15, 22, 100]
[9, 24, 101]
[9, 26, 102]
[11, 27, 103]
[9, 31, 104]
[10, 30, 105]
[12, 27, 106]
[14, 24, 107]
[14, 27, 108]
[13, 29, 109]
[14, 28, 110]
[16, 3, 111]
[16, 6, 112]
[16, 7, 113]
[17, 7, 114]
[20, 3, 115]
[23, 2, 116]
[21, 5, 117]
[18, 9, 118]
[19, 10, 119]
[16, 14, 120]
[18, 13, 121]
[20, 9, 122]
[21, 9, 123]
[23, 8, 124]
[22, 11, 125]
[21, 14, 126]
[21, 15, 127]
[24, 1, 128]
[24, 3, 129]
[26, 0, 130]
[27, 0, 131]
[24, 5, 132]
[25, 6, 133]
[25, 7, 134]
[27, 5, 135]
[26, 6, 136]
[27, 7, 137]
[30, 0, 138]
[31, 0, 139]
[31, 1, 140]
[28, 6, 141]
[28, 7, 142]
[29, 6, 143]
[30, 5, 144]
[31, 4, 145]
[24, 10, 146]
[25, 10, 147]
[26, 8, 148]
[27, 9, 149]
[26, 11, 150]
[24, 12, 151]
[24, 14, 152]
[26, 15, 153]
[29, 9, 154]
[28, 11, 155]
[29, 10, 156]
[31, 9, 157]
[28, 13, 158]
[31, 12, 159]
[16, 17, 160]
[17, 16, 161]
[16, 20, 162]
[18, 21, 163]
[18, 22, 164]
[18, 23, 165]
[21, 16, 166]
[21, 22, 167]
[22, 20, 168]
[23, 21, 169]
[17, 25, 170]
[16, 26, 171]
[18, 27, 172]
[19, 26, 173]
[16, 28, 174]
[21, 25, 175]
[20, 26, 176]
[23, 24, 177]
[20, 30, 178]
[21, 30, 179]
[23, 28, 180]
[25, 17, 181]
[24, 19, 182]
[26, 16, 183]
[24, 22, 184]
[24, 23, 185]
[25, 23, 186]
[26, 20, 187]
[29, 16, 188]
[28, 18, 189]
[28, 19, 190]
[31, 17, 191]
[30, 18, 192]
[31, 18, 193]
[28, 21, 194]
[29, 20, 195]
[29, 21, 196]
[31, 22, 197]
[31, 23, 198]
[24, 26, 199]
[27, 27, 200]
[24, 28, 201]
[25, 29, 202]
[24, 30, 203]
[26, 28, 204]
[29, 25, 205]
[30, 25, 206]
[31, 24, 207]
[31, 25, 208]
[30, 26, 209]
[30, 27, 210]
[28, 30, 211]
[29, 30, 212]
[30, 31, 213]
[31, 31, 214]
[1, 32, 215]
[0, 35, 216]
[1, 34, 217]
[2, 33, 218]
[0, 37, 219]
